username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
amandamanganarc,"Journalist/News Director for Allegany Radio Corp,Magic 100.5, 94.1 QZK, 100.1 & 99.9 The Wolf, 99.5 WDZN, ESPN AM 1230 &1390. Host of Potomac Highlands Today","Cumberland, MD",1111,2408,26532,2009-04-25 00:16:36,2020-11-13 16:13:50,0,"For the week of Nov 7-13, 2020, ACPS reports 16)individuals tested positive for COVID-19 who were within an Allegany County Public School.  These individuals will complete the required isolation period.",[]
News24,South Africa's premier online news resource. Follow @TeamNews24 for all the action from our journalists 🇿🇦 SA's most trusted news source - Reuters Institute,South Africa,659,3716055,336293,2008-05-08 07:45:58,2020-11-13 16:13:50,1,Bulls veteran @1GioAplon has played down the need to question the integrity of Super Rugby Unlocked after the Lions-Pumas game was postponed due to Covid-19 protocols | @sportmal https://t.co/THm4N5R5hp,[]
DrJohnCav,"Cancer #survivor - Connected, intelligent & business savvy leader. Brings new vision to civic engagement initiatives & global public affairs.","Columbus, OH",4877,1561,49071,2015-01-08 17:07:24,2020-11-13 16:13:50,1,"They meet you where you are! COVID-19 has brought great challenges, but also new opportunities. Learning about how the SBDC can support you. #LatinOHSummit20 ⁦@OCHLA_OH⁩ ⁦@lorenamoramowry⁩ ⁦@OhioDevelopment⁩ ⁦@GovMikeDeWine⁩ https://t.co/jg4WVBwOJJ",[]
WellLivingLab,"The first exclusively human-centered research center dedicated to creating healthier spaces in which to live, work and play indoors.","Rochester, MN",210,1773,541,2015-09-17 18:57:49,2020-11-13 16:13:50,0,"The #COVID19 &amp; Beyond program includes 20+ researchers from the Well Living Lab, @MayoClinic, and @PublicHealthUMN to study the spread of the virus. #EpiCH","[{'text': 'COVID19', 'indices': [4, 12]}, {'text': 'EpiCH', 'indices': [153, 159]}]"
Rutgers_Newark,Official Rutgers University-Newark Twitter page. You can also follow us on Facebook @Rutgers.Newark and Instagram @runewark. We R the Ones.,"Newark, NJ",956,10638,10228,2008-10-27 14:03:18,2020-11-13 16:13:50,2,"""Understanding cognitive biases could help public health officials present information about COVID-19 in a way that helps people properly assess risk,"" says SASN psychologist Mauricio Delgado in this @axios piece about the holidays and pandemic decisions: https://t.co/igjswsSVtM",[]
KarrieMoen,"I love music, science, technology, good food, great wine, aged whiskey and a great guitar riff. Audiophile, Futurist, Mother, Friend & champion of the underdog",Northern Minnesota,3572,795,12843,2010-11-21 18:04:11,2020-11-13 16:13:50,332,"More than 150,000 Covid-19 cases were reported in a single day in the United States for the first time on Thursday https://t.co/RGMIAPHfd6",[]
2EPNola,,,1348,564,50958,2015-01-26 15:51:25,2020-11-13 16:13:50,3710,"80 percent of those who died of Covid-19 in Texas county jails were never convicted of a crime, a new report finds  https://t.co/EjLpTPPQ4E",[]
Renee44307481,,,16,5,75,2020-05-12 03:37:37,2020-11-13 16:13:50,0,@juliana_thoma @DavidJHarrisJr @realDonaldTrump You would give your country away to not Place America first? Going back to China? Communist regime that places their people in prison  for thinking different  than them? Gave us Covid 19?,[]
bernardshawlive,"Cannot see the point of monarchy & believe the UK is undemocratic, look at house of lords. We need equality/fairness for ALL not just the 5%.",Cambridge ,2459,1760,122843,2012-04-26 02:14:51,2020-11-13 16:13:50,24,It is with great sadness we announce that porter Anthony Doherty has sadly died from COVID-19. Colleagues said that Tony was “a larger than life figure with a heart of gold who made an instant and lasting impression on everyone he met”. https://t.co/wWSfCyE6L8,[]
ImLindseyJ,@WTWONews MMJ • @IUMediaSchool Alumna • 1908 • Opinions are my own. Got a story idea? DM me.,IND|DAL,962,965,3374,2018-09-05 22:59:52,2020-11-13 16:13:49,0,"Indiana State University implements new COVID-19 protocols as a result of statewide pandemic restrictions being reinstated starting Sunday, Nov. 15. https://t.co/cr8aWXn1pW",[]
michaelkasdan,"IP Attny, Adj. Prof @NYULaw, Dir. Special Projects/Sports @GoodMenProject, Dad, coach, social justice, healthy masculinity, startups, mental health, writing 💫",New York City,4998,3041,106210,2011-03-24 19:25:30,2020-11-13 16:13:49,0,One million new COVID-19 cases across the US as Trump hides in his bunker without a word about it or a plan.,[]
chancefisher20,,,39,12,1282,2020-07-28 02:41:03,2020-11-13 16:13:49,3288,"BREAKING—Our entire country, from coronavirus pandemic. Another new all-time record 150,000 cases today. Thanksgiving holidays are coming w/ risky indoor gatherings. 

Try to keep outdoors. But if you must indoors—you must mask!! Premium masks if possible. 

#COVID19 is airborne. https://t.co/qhz8cs0grH",[]
Will_S_iam,"Viewing life with different eyes.  One foot in a classroom, the other paddling in a river.",Life is better by the water.,872,469,20283,2009-02-04 11:23:00,2020-11-13 16:13:49,33,"United Kingdom Daily Coronavirus (COVID-19) Report · Friday 13th November.

27,301 new cases (people positive) reported, giving a total of 1,317,496.

376 new deaths reported, giving a total of 51,304. https://t.co/WGZUzCgecW",[]
Yankeegal11,#Bidenharris2020 #Teamjoe Wear a mask! Social Distance! #SavetheUSPS,"Florida, USA",1370,1094,100471,2009-06-24 17:45:42,2020-11-13 16:13:49,5,At least 5 passengers on first Caribbean cruise in months tests positive for COVID-19 https://t.co/Hbj74StY6N https://t.co/mSbApzI3tf,[]
jxwbooks,JXW Books provides quality reading entertainment for adults as well as children.,,2277,385,4750,2011-10-08 14:56:44,2020-11-13 16:13:49,0,#1918Pandemic lasted 2 years with 4 Deadly Waves😱We are supposed to #Learn📚from #History🤔#COVID19 #Pandemic #WorldKindnessDay🦠😷🦠#WorldKindnessDay2020😷 #SocialDistancing #StayHome #WashYourHands #Masks #WearAMask #WakeUpAmerica #BeKind #KindnessMatters #WearAMaskSaveALife😷 https://t.co/uoiBaMT0fM,"[{'text': '1918Pandemic', 'indices': [0, 13]}, {'text': 'Learn', 'indices': [68, 74]}, {'text': 'History', 'indices': [80, 88]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'Pandemic', 'indices': [98, 107]}, {'text': 'WorldKindnessDay', 'indices': [108, 125]}, {'text': 'WorldKindnessDay2020', 'indices': [128, 149]}, {'text': 'SocialDistancing', 'indices': [151, 168]}, {'text': 'StayHome', 'indices': [169, 178]}, {'text': 'WashYourHands', 'indices': [179, 193]}, {'text': 'Masks', 'indices': [194, 200]}, {'text': 'WearAMask', 'indices': [201, 211]}, {'text': 'WakeUpAmerica', 'indices': [212, 226]}, {'text': 'BeKind', 'indices': [227, 234]}, {'text': 'KindnessMatters', 'indices': [235, 251]}, {'text': 'WearAMaskSaveALife', 'indices': [252, 271]}]"
